ip,port,protocol,anonymity,lastTested,allowsRefererHeader,allowsUserAgentHeader,allowsCustomHeaders,allowsCookies,allowsPost,allowsHttps,country,connectTime,downloadSpeed,secondsToFirstByte,uptime
63.141.128.78,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.104,1632,0.128,99.997
63.141.128.66,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.008,8750,0.025,99.996
66.235.200.246,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.091,1891,0.112,99.999
66.235.200.111,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.038,4019,0.052,99.996
63.141.128.100,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.489,408,0.506,99.994
159.112.235.92,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.268,740,0.281,99.999
66.235.200.34,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.198,954,0.221,99.996
63.141.128.254,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.229,840,0.25,99.996
63.141.128.250,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.057,3000,0.07,99.996
47.57.233.126,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.199,197,1.06,99.345
141.193.213.247,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.169,1094,0.191,99.991
63.141.128.119,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.17,1044,0.201,99.996
63.141.128.137,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.218,885,0.236,99.998
63.141.128.129,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.054,2386,0.089,99.997
63.141.128.55,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.121,1251,0.167,99.996
63.141.128.102,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.212,905,0.233,99.997
159.112.235.51,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.016,6303,0.033,99.996
63.141.128.20,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.049,3058,0.068,99.997
141.193.213.2,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.072,2260,0.093,99.991
66.235.200.94,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.065,2625,0.081,99.995
63.141.128.35,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.355,552,0.38,99.994
66.235.200.128,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.051,3000,0.071,99.996
141.193.213.185,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.035,4000,0.052,99.992
66.235.200.12,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.03,4285,0.049,99.997
141.193.213.49,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.029,4906,0.044,99.995
141.193.213.0,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.422,469,0.446,99.993
66.235.200.79,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.215,909,0.232,99.996
63.141.128.111,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.03,4285,0.049,99.997
159.112.235.104,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.079,2200,0.095,99.996
159.112.235.101,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.236,825,0.252,99.997
159.112.235.21,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.163,1142,0.183,99.998
66.235.200.10,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.172,1039,0.202,99.999
66.235.200.52,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.266,704,0.298,99.997
159.112.235.60,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.088,701,0.299,99.993
66.235.200.14,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.276,490,0.426,99.997
159.112.235.181,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.665,304,0.686,99.998
66.235.200.244,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.555,369,0.57,99.996
66.235.200.181,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.038,3265,0.065,99.996
66.235.200.210,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.088,1713,0.123,99.999
141.193.213.64,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.218,842,0.232,99.993
141.193.213.229,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.086,1567,0.134,99.991
141.193.213.206,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.376,522,0.401,99.994
159.112.235.23,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.336,495,0.424,99.997
63.141.128.71,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.119,1485,0.14,99.995
66.235.200.196,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.34,580,0.36,99.993
159.112.235.251,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.16,647,0.321,99.998
159.112.235.65,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.003,3333,0.064,99.999
63.141.128.57,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.181,1044,0.2,99.995
66.235.200.255,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.185,1024,0.205,99.643
63.141.128.161,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.29,675,0.309,99.997
159.112.235.214,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.083,2153,0.099,99.997
66.235.200.31,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.017,5805,0.036,99.997
141.193.213.67,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.033,4265,0.049,99.99
66.235.200.125,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.085,1944,0.108,100
159.112.235.137,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.07,2009,0.104,99.996
63.141.128.36,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.026,4468,0.047,99.997
159.112.235.229,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.069,2142,0.098,99.998
159.112.235.91,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.4,496,0.421,99.997
66.235.200.70,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.308,612,0.342,99.997
141.193.213.71,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.113,1640,0.129,99.991
159.112.235.247,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.01,7464,0.026,99.997
141.193.213.76,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.013,6741,0.031,99.994
66.235.200.254,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.129,1375,0.152,99.993
63.141.128.18,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.318,611,0.345,99.993
141.193.213.225,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.45,441,0.471,99.991
159.112.235.48,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.231,840,0.25,99.996
141.193.213.226,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.074,2348,0.089,99.993
66.235.200.105,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.012,7428,0.029,99.996
141.193.213.164,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.126,1441,0.145,99.991
66.235.200.33,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.105,1402,0.149,99.994
141.193.213.107,80,http,anonymous,2024/10/4 5:30,TRUE,TRUE,TRUE,TRUE,TRUE,,US,0.126,1111,0.19,99.995
